交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/6/4,TXO,201906W1,11000,買權,0.1,0.1,0.1,0.1,300,0.1,1184,-,0.5,0.6,0.1,,一般
2019/6/4,TXO,201906W1,11000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11000,賣權,-,-,-,-,0,570,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11100,買權,-,-,-,-,0,0.1,797,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11100,賣權,-,-,-,-,0,670,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11200,買權,-,-,-,-,0,0.1,63,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11200,賣權,-,-,-,-,0,770,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11300,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11300,賣權,-,-,-,-,0,870,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7400,買權,-,-,-,-,0,3020,3,-,-,-,-,,一般
2019/6/4,TXO,201906,7400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7400,賣權,0.5,0.7,0.5,0.7,67,0.7,7020,0.4,2.9,113,0.1,,一般
2019/6/4,TXO,201906,7400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7600,買權,-,-,-,-,0,2820,8,-,-,-,-,,一般
2019/6/4,TXO,201906,7600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7600,賣權,-,-,-,-,0,0.8,3713,-,-,-,-,,一般
2019/6/4,TXO,201906,7600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7800,買權,-,-,-,-,0,2620,24,-,-,-,-,,一般
2019/6/4,TXO,201906,7800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7800,賣權,-,-,-,-,0,0.9,2966,-,-,-,-,,一般
2019/6/4,TXO,201906,7800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8000,買權,-,-,-,-,0,2420,17,-,-,-,-,,一般
2019/6/4,TXO,201906,8000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8000,賣權,-,-,-,-,0,1,4117,-,-,-,-,,一般
2019/6/4,TXO,201906,8000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8200,買權,-,-,-,-,0,2220,18,-,-,-,-,,一般
2019/6/4,TXO,201906,8200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8200,賣權,-,-,-,-,0,1.1,3272,-,-,-,-,,一般
2019/6/4,TXO,201906,8200,賣權,1,1.3,1,1.1,3,-,-,-,1.6,212,0.4,,盤後
2019/6/4,TXO,201906,8400,買權,-,-,-,-,0,2020,19,-,-,-,-,,一般
2019/6/4,TXO,201906,8400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8400,賣權,1.1,1.4,1.1,1.4,4,1.4,3379,0.3,1.5,299,1.1,,一般
2019/6/4,TXO,201906,8400,賣權,1.3,1.3,1.2,1.2,3,-,-,0.2,5.6,299,1.2,,盤後
2019/6/4,TXO,201906,8600,買權,-,-,-,-,0,1820,93,-,-,-,-,,一般
2019/6/4,TXO,201906,8600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8600,賣權,2.2,2.2,1.8,1.8,2,1.8,4413,0.3,2,381,1.4,,一般
2019/6/4,TXO,201906,8600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8700,買權,-,-,-,-,0,1720,0,-,-,-,-,,一般
2019/6/4,TXO,201906,8700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8700,賣權,2,2,2,2,3,2,552,0.3,106,4.3,1.6,,一般
2019/6/4,TXO,201906,8700,賣權,2,2,2,2,15,-,-,0.3,4.9,4.3,1.6,,盤後
2019/6/4,TXO,201906,8800,買權,-,-,-,-,0,1620,58,-,-,-,-,,一般
2019/6/4,TXO,201906,8800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8800,賣權,2.4,2.6,2.2,2.3,30,2.3,5351,1.8,2.7,361,1.8,,一般
2019/6/4,TXO,201906,8800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8900,買權,-,-,-,-,0,1520,0,-,-,-,-,,一般
2019/6/4,TXO,201906,8900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,8900,賣權,2.9,2.9,2.4,2.4,10,2.4,1914,0.3,18,23,2.1,,一般
2019/6/4,TXO,201906,8900,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,9000,買權,-,-,-,-,0,1420,48,-,-,-,-,,一般
2019/6/4,TXO,201906,9000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
